总延迟ms,正式轴合法,正式轴伤害,正式轴失败行,上一时点轴伤害,正式轴相对上一轴,网格合法数,最佳第一雷提前帧,最佳第二雷提前帧,网格最佳伤害,网格最佳相对正式轴,网格最佳相对上一轴
30,true,2564610782.546099,,2559691795.503304,4918987.042795181,100,7,5,2564610782.546099,0,4918987.042795181
60,true,2521686434.924993,,2516476805.1711755,5209629.753817558,64,8,5,2522112989.411435,426554.4864420891,5636184.240259647
90,false,,18,2478251696.715402,,1,1,1,2482731049.181865,,4479352.466463089
