"雷序号","原锚点行","最早行","最晚行","固定锚点","入站坐标组合数","压缩前可用坐标组合数","出站状态数","出站坐标组合数","实际坐标分布","边界最高累计伤害差","最高后缀评分差"
"1","3","3","3","true","1","1","12","1","{""3"":12}","20880347.452349506","0"
"2","20","19","21","false","3","3","16","3","{""19"":14,""20"":1,""21"":1}","12117012.371257544","-5638693.11800909"
"3","38","37","39","false","9","9","16","8","{""37"":11,""38"":2,""39"":3}","27822391.79376006","10771019.000585556"
"4","59","58","60","false","16","16","16","8","{""58"":11,""59"":2,""60"":3}","28941144.379262924","11889771.586088657"
"5","80","79","81","false","16","16","16","8","{""79"":11,""80"":3,""81"":2}","14587707.706466913","-4434731.274204731"
"6","105","104","106","false","17","17","16","9","{""104"":11,""105"":4,""106"":1}","57996970.21603155","30248166.231544018"
"7","128","128","128","true","6","6","16","6","{""128"":16}","627395.1438832283","0"
