"雷序号","原锚点行","最早行","最晚行","固定锚点","入站坐标组合数","压缩前可用坐标组合数","出站状态数","出站坐标组合数","实际坐标分布","边界最高累计伤害差","最高后缀评分差"
"1","3","3","3","true","1","1","12","1","{""3"":12}","20880347.452349506","0"
"2","20","19","21","false","3","3","32","3","{""19"":29,""20"":2,""21"":1}","12117012.371257544","0"
"3","38","37","39","false","9","9","32","9","{""37"":26,""38"":3,""39"":3}","49364305.58427405","29278724.02497244"
"4","59","58","60","false","27","27","32","16","{""58"":22,""59"":6,""60"":4}","28941144.379262924","11889771.586088657"
"5","80","79","81","false","33","33","32","16","{""79"":23,""80"":6,""81"":3}","14587707.706466913","-4434731.274204731"
"6","105","104","106","false","34","34","32","16","{""104"":22,""105"":5,""106"":5}","65329416.150450945","48278043.35727644"
"7","128","128","128","true","13","13","32","13","{""128"":32}","1284559.7303676605","0"
