"候选序号","前缀种子","后缀种子","交叉雷序号","交叉行","边界状态距离","边界完全一致","粗排伤害","完整突重排伤害","重排后相对全局差","桥接后伤害","桥接局部收益","桥接后相对全局差","突次数","桥接区段","探索转移","合法转移"
"1","1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","5","80","136.88","false","2530595061.7922735","2530595061.7922735","-106774.87213611603","2530595061.7922735","0","-106774.87213611603","9","[""joint-thunder-4-to-6""]","11500","8791"
"2","1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","4","59","64","false","2529982800.5168324","2529982800.5168324","-719036.1475772858","2529982800.5168324","0","-719036.1475772858","9","[""joint-thunder-3-to-5""]","10928","8832"
"3","3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","2","20","0","true","2529264071.908071","2529264071.908071","-1437764.7563385963","2530394488.1575246","1130416.2494535446","-307348.5068850517","9","[""joint-thunder-1-to-3""]","13164","10503"
"4","1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","3","38","64","false","2529114594.4996223","2529114594.4996223","-1587242.1647872925","2530214439.615596","1099845.1159734726","-487397.0488138199","9","[""joint-thunder-2-to-4""]","11016","8729"
